日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260831,5582,グリッド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5584,Ｓｔｒａｗｂｅｒｒｙ　ｊａｍｓ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5586,Ｌａｂｏｒｏ．ＡＩ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5587,インバウンドプラットフォーム,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5588,ファーストアカウンティング,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5589,オートサーバー,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,558A,ＳＱＵＥＥＺＥ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,5590,ネットスターズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5591,ＡＶＩＬＥＮ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5592,くすりの窓口,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5594,エム・デー・ビー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5597,ブルーイノベーション,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5598,Ｙｏｔｔａｖｉａｓ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5599,Ｓ＆Ｊ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,559A,梅乃宿酒造,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20260831,5602,栗本鐵工所,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5603,虹技,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,5609,日本鋳造,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,560A,オカダコーポレーション,PRO Market,6100,小売業,14,小売,-,-
20260831,5612,日本鋳鉄管,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,5616,雨風太陽,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5618,ナイル,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5619,マーソ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,561A,マークスライフ,PRO Market,8050,不動産業,17,不動産,-,-
20260831,5620,エスピーオー,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5621,ヒューマンテクノロジーズ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5622,ワンビ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,562A,寶結,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5631,日本製鋼所,プライム（内国株式）,3600,機械,8,機械,4,TOPIX Mid400
20260831,5632,三菱製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,563A,グローバルＸ　ＮＡＳＤＡＱ１００・デイリー・カバード・コール　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20260831,5644,メタルアート,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,564A,グローバルＸ　Ｓ＆Ｐ先進国キャッシュフロー・トップ１００　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
